profileName,iscedName,mainInstitutionName,levelCode,leadingInstitutionCity,mainInstitutionKind
praktyczny,Zarządzanie i administracja,Wyższa Szkoła Gospodarki w Bydgoszczy,2,Bydgoszcz,Uczelnia niepubliczna
praktyczny,Terapia i rehabilitacja,Społeczna Akademia Nauk z siedzibą w Łodzi,3,Kołobrzeg,Uczelnia niepubliczna
praktyczny,Terapia i rehabilitacja,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet im. Adama Mickiewicza w Poznaniu,3,Poznań,Uczelnia publiczna
praktyczny,Ochrona osób i mienia,Akademia Humanistyczno-Ekonomiczna w Łodzi,2,Sieradz,Uczelnia niepubliczna
praktyczny,Kształcenie nauczycieli ze specjalizacją tematyczną,Uniwersytet Szczeciński,3,Szczecin,Uczelnia publiczna
praktyczny,Nauka języków,Wielkopolska Akademia Społeczno - Ekonomiczna w Środzie Wielkopolskiej - Akademia Nauk Stosowanych,2,Środa Wielkopolska,Uczelnia niepubliczna
ogólnoakademicki,Medycyna,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,1,Kraków,Uczelnia niepubliczna
praktyczny,Nauka języków,Uniwersytet Opolski,2,Opole,Uczelnia publiczna
ogólnoakademicki,Chemia,Uniwersytet Opolski,3,Opole,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Wyższa Szkoła Medyczna z siedzibą w Białymstoku,1,Białystok,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Wielkopolska Akademia Społeczno - Ekonomiczna w Środzie Wielkopolskiej - Akademia Nauk Stosowanych,2,Środa Wielkopolska,Uczelnia niepubliczna
ogólnoakademicki,Sztuki plastyczne,Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,3,Wrocław,Uczelnia publiczna
praktyczny,Psychologia,Poznańska Akademia Medyczna Nauk Stosowanych im. Księcia Mieszka I,1,Poznań,Uczelnia niepubliczna
praktyczny,Psychologia,Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi,1,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Nauki o Ziemi,Uniwersytet Mikołaja Kopernika w Toruniu,3,Toruń,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Europejska Akademia Medycznych i Społecznych Nauk Stosowanych,2,Olsztyn,Uczelnia niepubliczna
praktyczny,Kształcenie,Akademia Nauk Stosowanych we Wrocławiu,3,Wrocław,Uczelnia niepubliczna
praktyczny,Terapia i rehabilitacja,Śląska Wyższa Szkoła Medyczna w Katowicach,3,Katowice,Uczelnia niepubliczna
ogólnoakademicki,Ekonomia,Akademia Leona Koźmińskiego w Warszawie,3,Warszawa,Uczelnia niepubliczna
praktyczny,Programy i kwalifikacje związane ze środowiskiem gdzie indziej niesklasyfikowane,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,2,Bydgoszcz,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Uniwersytet WSB Merito w Gdańsku,3,Gdynia,Uczelnia niepubliczna
ogólnoakademicki,Przedmioty humanistyczne (z wyłączeniem języków) gdzie indziej niesklasyfikowane,Uniwersytet Warmińsko-Mazurski w Olsztynie,3,Olsztyn,Uczelnia publiczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje obejmujące technikę, przemysł i budownictwo",Politechnika Świętokrzyska,3,Kielce,Uczelnia publiczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,Olsztyn,Uczelnia publiczna
praktyczny,Psychologia,Akademia Humanistyczno-Ekonomiczna w Łodzi,3,Łódź,Uczelnia niepubliczna
praktyczny,Pielęgniarstwo i położnictwo,Akademia Nauk Stosowanych im. Józefa Gołuchowskiego,2,Miechów,Uczelnia niepubliczna
ogólnoakademicki,Mechanika i metalurgia,Politechnika Poznańska,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Ekonomia,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,3,Warszawa,Uczelnia publiczna
praktyczny,"Hotele, restauracje i katering",Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Praca socjalna i doradztwo,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Turystyka i wypoczynek,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
praktyczny,Interdyscyplinarne programy i kwalifikacje związane z edukacją,Akademia Humanistyczno-Ekonomiczna w Łodzi,2,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Mikołaja Kopernika w Toruniu,1,Toruń,Uczelnia publiczna
ogólnoakademicki,Praca socjalna i doradztwo,Uniwersytet Jana Długosza w Częstochowie,3,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Nauki o Ziemi,Uniwersytet Pomorski w Słupsku,3,Słupsk,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Akademia WSB,2,Dąbrowa Górnicza,Uczelnia niepubliczna
praktyczny,Matematyka,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Gdański,3,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Przetwórstwo żywności,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,Olsztyn,Uczelnia publiczna
ogólnoakademicki,Mechanika i metalurgia,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,2,Łódź,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Uniwersytet Gdański,3,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Ochrona osób i mienia,Akademia Nauk Stosowanych w Bielsku-Białej,3,Bielsko-Biała,Uczelnia niepubliczna
praktyczny,Turystyka i wypoczynek,Wrocławska Akademia Biznesu w Naukach Stosowanych,3,Wrocław,Uczelnia niepubliczna
praktyczny,Ochrona osób i mienia,Akademia WSB,2,Dąbrowa Górnicza,Uczelnia niepubliczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie,1,Wrocław,Uczelnia publiczna
praktyczny,Zdrowie nieokreślone dalej,Europejska Uczelnia Społeczno-Techniczna im. Roberta Schumana,2,Radom,Uczelnia niepubliczna
praktyczny,Obszar nieznany,Uniwersytet Pomorski w Słupsku,3,Słupsk,Uczelnia publiczna
praktyczny,Inżynieria i zawody inżynierskie gdzie indziej niesklasyfikowane,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,3,Warszawa,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Uczelnia Państwowa im. Jana Grodka w Sanoku,3,Sanok,Uczelnia publiczna
ogólnoakademicki,Biologia,Uniwersytet Śląski w Katowicach,3,Katowice,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Pomorski Uniwersytet Medyczny w Szczecinie,3,Szczecin,Uczelnia publiczna
praktyczny,Literatura i językoznawstwo (lingwistyka),Akademia Nauk Stosowanych im. Stanisława Staszica w Pile,2,Piła,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Uniwersytet Pomorski w Słupsku,2,Słupsk,Uczelnia publiczna
praktyczny,Technologie związane z diagnostyką i leczeniem,Warszawski Uniwersytet Medyczny,3,Warszawa,Uczelnia publiczna
praktyczny,Projektowanie i administrowanie baz danych i sieci,Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
praktyczny,Farmacja,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,1,Wrocław,Uczelnia publiczna
ogólnoakademicki,Marketing i reklama,Uniwersytet Ekonomiczny w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Poznań,Uczelnia publiczna
ogólnoakademicki,Wojsko i obronność,Akademia Finansów i Biznesu Vistula,2,Pułtusk,Uczelnia niepubliczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,2,Łódź,Uczelnia publiczna
praktyczny,Technologie związane z diagnostyką i leczeniem,Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku z siedzibą w Gdańsku,2,Ostrołęka,Uczelnia niepubliczna
ogólnoakademicki,"Interdyscyplinarne programy i kwalifikacje obejmujące technikę, przemysł i budownictwo",Politechnika Wrocławska,3,Wrocław,Uczelnia publiczna
ogólnoakademicki,Kształcenie nauczycieli ze specjalizacją tematyczną,Akademia Sztuki w Szczecinie,2,Szczecin,Uczelnia publiczna
praktyczny,Budownictwo i inżynieria lądowa i wodna,Akademia Kujawsko-Pomorska,2,Bydgoszcz,Uczelnia niepubliczna
praktyczny,Obszar nieznany,Akademia Nauk Stosowanych Stefana Batorego,1,Skierniewice,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Wyższa Szkoła Administracji w Bielsku-Białej,2,Stalowa Wola,Uczelnia niepubliczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
praktyczny,Pielęgnacja włosów i urody,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,3,Kraków,Uczelnia niepubliczna
praktyczny,Pielęgniarstwo i położnictwo,Państwowa Akademia Nauk Stosowanych im. Ignacego Mościckiego w Ciechanowie,3,Ciechanów,Uczelnia publiczna
praktyczny,Pielęgnacja włosów i urody,Uniwersytet Opolski,2,Opole,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Wyższa Szkoła Humanistyczno-Przyrodnicza Studium Generale Sandomiriense w Sandomierzu,3,Sandomierz,Uczelnia niepubliczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Poznań,Uczelnia publiczna
praktyczny,Budownictwo i inżynieria lądowa i wodna,Collegium Da Vinci z siedzibą w Poznaniu,2,Poznań,Uczelnia niepubliczna
ogólnoakademicki,Języki nie określone dalej,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
praktyczny,Psychologia,Uczelnia Jana Wyżykowskiego,1,Polkowice,Uczelnia niepubliczna
ogólnoakademicki,Przetwórstwo żywności,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,2,Warszawa,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Uczelnia Techniczno-Handlowa im. Heleny Chodkowskiej,2,Płońsk,Uczelnia niepubliczna
praktyczny,Zarządzanie i administracja,"Wyższa Szkoła Promocji, Mediów i Show Businessu z siedzibą w Warszawie",3,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Terapia i rehabilitacja,Warszawski Uniwersytet Medyczny,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Mechanika i metalurgia,Uniwersytet Warmińsko-Mazurski w Olsztynie,3,Olsztyn,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Akademia Śląska,2,Katowice,Uczelnia niepubliczna
ogólnoakademicki,Muzyka i sztuki sceniczne,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,3,Łódź,Uczelnia publiczna
ogólnoakademicki,Sztuki plastyczne,Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu,1,Wrocław,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Uniwersytet Jana Długosza w Częstochowie,2,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Nauki społeczne nieokreślone dalej,Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Programy i kwalifikacje związane ze sztuką gdzie indziej niesklasyfikowane,Polsko-Japońska Akademia Technik Komputerowych,2,Warszawa,Uczelnia niepubliczna
praktyczny,Praca socjalna i doradztwo,Uniwersytet Zielonogórski,2,Zielona Góra,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Śląski w Katowicach,2,Katowice,Uczelnia publiczna
praktyczny,Prawo,Uczelnia Jana Wyżykowskiego,1,Lubin,Uczelnia niepubliczna
ogólnoakademicki,Religia i teologia,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Ekonomiczny w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Technologie związane z diagnostyką i leczeniem,Uniwersytet Medyczny w Białymstoku,2,Białystok,Uczelnia publiczna
praktyczny,Mechanika i metalurgia,Politechnika Rzeszowska im. Ignacego Łukasiewicza,2,Rzeszów,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Uniwersytet Gdański,3,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Słubice,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Powiślańska Szkoła Wyższa,2,Kościerzyna,Uczelnia niepubliczna
ogólnoakademicki,Rachunkowość i podatki,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,3,Bydgoszcz,Uczelnia publiczna
praktyczny,Terapia i rehabilitacja,Wyższa Szkoła Nauk o Zdrowiu w Bydgoszczy,2,Bydgoszcz,Uczelnia niepubliczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Akademia Ekonomiczno-Humanistyczna w Warszawie,3,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,"Nauki przyrodnicze, matematyka i statystyka nieokreślone dalej",Uczelnia Łazarskiego w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,3,Warszawa,Uczelnia publiczna
praktyczny,Dziennikarstwo,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,2,Bydgoszcz,Uczelnia publiczna
ogólnoakademicki,Przedmioty humanistyczne (z wyłączeniem języków) gdzie indziej niesklasyfikowane,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,2,Bydgoszcz,Uczelnia publiczna
praktyczny,Prawo,Akademia Humanistyczno-Ekonomiczna w Łodzi,1,Łódź,Uczelnia niepubliczna
ogólnoakademicki,Turystyka i wypoczynek,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,2,Kraków,Uczelnia niepubliczna
ogólnoakademicki,Elektronika i automatyka,Uniwersytet Bielsko-Bialski,2,Bielsko-Biała,Uczelnia publiczna
ogólnoakademicki,Programy i kwalifikacje związane z przetwórstwem przemysłowym gdzie indziej niesklasyfikowane,Uniwersytet Ekonomiczny we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,Obszar nieznany,Wyższa Szkoła Zdrowia w Gdańsku,1,Gdańsk,Uczelnia niepubliczna
ogólnoakademicki,Ochrona osób i mienia,Poznańska Akademia Medyczna Nauk Stosowanych im. Księcia Mieszka I,2,Poznań,Uczelnia niepubliczna
ogólnoakademicki,Produkcja roślinna i zwierzęca,Uniwersytet Przyrodniczy w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Nauka języków,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Pomorski w Słupsku,2,Słupsk,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
ogólnoakademicki,Nauki o Ziemi,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,Poznań,Uczelnia publiczna
praktyczny,Kształcenie nauczycieli nauczania przedszkolnego,Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie,1,Wodzisław Śląski,Uczelnia niepubliczna
praktyczny,Technologie związane z ochroną środowiska,Państwowa Akademia Nauk Stosowanych im. Ignacego Mościckiego w Ciechanowie,2,Ciechanów,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Elektryczność i energia,Politechnika Poznańska,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Chemia,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Europejska Uczelnia w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Inżynieria i zawody inżynieryjne nieokreślone dalej,Uniwersytet Przyrodniczy we Wrocławiu,2,Wrocław,Uczelnia publiczna
ogólnoakademicki,Kształcenie,Poznańska Akademia Medyczna Nauk Stosowanych im. Księcia Mieszka I,3,Poznań,Uczelnia niepubliczna
ogólnoakademicki,Psychologia,Uniwersytet SWPS,3,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,Obszar nieznany,Społeczna Akademia Nauk z siedzibą w Łodzi,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,"Technika, przemysł i budownictwo nieokreślone dalej",Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,3,Warszawa,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych,2,Szczecin,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Bezpieczeństwo i higiena pracy,Politechnika Świętokrzyska,2,Kielce,Uczelnia publiczna
praktyczny,Inżynieria i zawody inżynierskie gdzie indziej niesklasyfikowane,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,1,Warszawa,Uczelnia publiczna
ogólnoakademicki,Mechanika i metalurgia,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Uniwersytet Ekonomiczny we Wrocławiu,3,Wrocław,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Warszawski,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Biochemia,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
ogólnoakademicki,Obszar nieznany,Uniwersytet Mikołaja Kopernika w Toruniu,2,Toruń,Uczelnia publiczna
ogólnoakademicki,Zarządzanie i administracja,Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu,3,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Socjologia i kulturoznawstwo,Uniwersytet Szczeciński,2,Szczecin,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Uniwersytet Warmińsko-Mazurski w Olsztynie,2,Olsztyn,Uczelnia publiczna
praktyczny,Nauki społeczne nieokreślone dalej,Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych,3,Gryfice,Uczelnia niepubliczna
praktyczny,Rachunkowość i podatki,Staropolska Akademia Nauk Stosowanych w Kielcach,3,Bochnia,Uczelnia niepubliczna
ogólnoakademicki,Sztuki plastyczne,Uniwersytet Zielonogórski,3,Zielona Góra,Uczelnia publiczna
praktyczny,Obszar nieznany,Akademia WSB,2,Dąbrowa Górnicza,Uczelnia niepubliczna
praktyczny,Zarządzanie i administracja,Uczelnia Jańskiego z siedzibą w Łomży,3,Łomża,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Transport,Politechnika Poznańska,3,Poznań,Uczelnia publiczna
ogólnoakademicki,Technologie teleinformacyjne gdzie indziej niesklasyfikowane,Politechnika Częstochowska,3,Częstochowa,Uczelnia publiczna
praktyczny,Elektronika i automatyka,Publiczna Uczelnia Zawodowa w Grudziądzu,2,Grudziądz,Uczelnia publiczna
praktyczny,Medycyna,Uniwersytet Medyczny w Łodzi,1,Łódź,Uczelnia publiczna
praktyczny,Interdyscyplinarne programy i kwalifikacje obejmujące zdrowie i opiekę społeczną,Uniwersytet Przyrodniczy w Lublinie,2,Lublin,Uczelnia publiczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Opolski,2,Opole,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Uczelnia Nauk Społecznych,3,Warszawa,Uczelnia niepubliczna
praktyczny,Kształcenie,Uniwersytet Andrzeja Frycza Modrzewskiego w Krakowie,3,Kraków,Uczelnia niepubliczna
praktyczny,"Interdyscyplinarne programy i kwalifikacje związane z prowadzeniem działalności gospodarczej, administracją i prawem",Uniwersytet WSB Merito w Toruniu,3,Bydgoszcz,Uczelnia niepubliczna
ogólnoakademicki,Rachunkowość i podatki,Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Politechnika Poznańska,3,Poznań,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Akademia Ekonomiczno-Humanistyczna w Warszawie,2,Warszawa,Uczelnia niepubliczna
praktyczny,Obszar nieznany,Uniwersytet Gdański,2,Gdańsk,Uczelnia publiczna
ogólnoakademicki,Dziennikarstwo,Uniwersytet Ekonomiczny we Wrocławiu,3,Wrocław,Uczelnia publiczna
praktyczny,Zarządzanie i administracja,Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych,3,Szczecin,Uczelnia niepubliczna
praktyczny,Kształcenie nauczycieli bez specjalizacji tematycznej,Zachodniopomorska Szkoła Biznesu - Akademia Nauk Stosowanych,2,Gryfice,Uczelnia niepubliczna
praktyczny,Obszar nieznany,Wrocławska Akademia Biznesu w Naukach Stosowanych,2,Wrocław,Uczelnia niepubliczna
ogólnoakademicki,Architektura i planowanie przestrzenne,Akademia Techniczno-Artystyczna Nauk Stosowanych w Warszawie,2,Warszawa,Uczelnia niepubliczna
praktyczny,Elektryczność i energia,Politechnika Śląska,2,Gliwice,Uczelnia publiczna
praktyczny,Ochrona osób i mienia,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,"Rolnictwo, leśnictwo, rybołówstwo i weterynaria nieokreślone dalej",Uniwersytet Przyrodniczy we Wrocławiu,2,Wrocław,Uczelnia publiczna
praktyczny,Nauka języków,Europejska Uczelnia w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Przetwórstwo żywności,Uniwersytet Przyrodniczy w Poznaniu,2,Poznań,Uczelnia publiczna
praktyczny,Obszar nieznany,Uczelnia Jana Wyżykowskiego,2,Polkowice,Uczelnia niepubliczna
ogólnoakademicki,Mechanika i metalurgia,Politechnika Wrocławska,3,Wrocław,Uczelnia publiczna
praktyczny,Pielęgniarstwo i położnictwo,Uniwersytet Medyczny w Białymstoku,3,Białystok,Uczelnia publiczna
praktyczny,Ochrona osób i mienia,Akademia Nauk Stosowanych im. prof. Edwarda Lipińskiego w Kielcach,3,Kielce,Uczelnia niepubliczna
ogólnoakademicki,"Technika, przemysł i budownictwo nieokreślone dalej",Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,3,Warszawa,Uczelnia publiczna
ogólnoakademicki,Rachunkowość i podatki,Akademia Nauk Stosowanych im. prof. Edwarda Lipińskiego w Kielcach,2,Kielce,Uczelnia niepubliczna
praktyczny,Psychologia,Uczelnia Biznesu i Nauk Stosowanych „Varsovia”,1,Gdańsk,Uczelnia niepubliczna
ogólnoakademicki,Historia i archeologia,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,3,Lublin,Uczelnia publiczna
praktyczny,Prawo,Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi,2,Szczawno-Zdrój,Uczelnia niepubliczna
ogólnoakademicki,Politologia i wiedza o społeczeństwie,Uniwersytet Jagielloński w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Nauka języków,Akademia Piotrkowska,2,Piotrków Trybunalski,Uczelnia publiczna
praktyczny,Pielęgnacja włosów i urody,Poznańska Akademia Medyczna Nauk Stosowanych im. Księcia Mieszka I,2,Poznań,Uczelnia niepubliczna
ogólnoakademicki,Techniki audiowizualne i produkcja mediów,Uniwersytet Komisji Edukacji Narodowej w Krakowie,2,Kraków,Uczelnia publiczna
ogólnoakademicki,Obszar nieznany,Katolicki Uniwersytet Lubelski Jana Pawła II,3,Lublin,Uczelnia kościelna
ogólnoakademicki,Terapia i rehabilitacja,Pomorski Uniwersytet Medyczny w Szczecinie,3,Szczecin,Uczelnia publiczna
ogólnoakademicki,Mechanika i metalurgia,Politechnika Rzeszowska im. Ignacego Łukasiewicza,2,Rzeszów,Uczelnia publiczna
praktyczny,Kształcenie,Wyższa Szkoła Zarządzania i Przedsiębiorczości z siedzibą w Wałbrzychu,2,Wałbrzych,Uczelnia niepubliczna
ogólnoakademicki,Literatura i językoznawstwo (lingwistyka),Uniwersytet Jagielloński w Krakowie,3,Kraków,Uczelnia publiczna
ogólnoakademicki,Obszar nieznany,Uczelnia Medyczna im. Marii Skłodowskiej - Curie w Warszawie,2,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Nauka języków,Uniwersytet Opolski,2,Opole,Uczelnia publiczna
praktyczny,Nauka języków,Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach,2,Katowice,Uczelnia niepubliczna
praktyczny,Terapia i rehabilitacja,Uczelnia Społeczno-Medyczna w Warszawie,3,Warszawa,Uczelnia niepubliczna
ogólnoakademicki,Ekonomia,Uniwersytet Warszawski,2,Warszawa,Uczelnia publiczna
ogólnoakademicki,Matematyka,Uniwersytet Opolski,2,Opole,Uczelnia publiczna
ogólnoakademicki,Interdyscyplinarne programy i kwalifikacje obejmujące sztuki i przedmioty humanistyczne,Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,2,Katowice,Uczelnia publiczna
praktyczny,Kształcenie,Szkoła Główna Krajowa z siedzibą w Warszawie,3,Warszawa,Uczelnia niepubliczna
